2025-11-16 23:29:46 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:32:58 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:34:21 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:35:23 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:38:22 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:42:46 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:47:26 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:54:01 | INFO | __main__ | === ИНИЦИАЛИЗАЦИЯ ===
2025-11-16 23:54:46 | INFO | __main__ | === ТЕКСТОВЫЙ ПОИСК ===
2025-11-16 23:54:46 | INFO | __main__ | === ВЕКТОРНЫЙ ПОИСК ===
2025-11-16 23:54:47 | INFO | __main__ | VECTOR HIT: {'id': 346994, 'date': '2025-11-04T14:44:07+00:00', 'text': '📃 Путин подписал закон о круглогодичном призыве.', 'raw_text_len': 48, 'views': 73141, 'forwards': 380, 'reply_to_msg_id': 346184, 'is_reply': True, 'sender_id': -1001050820672, 'has_media': False, 'channel_id': 1050820672, 'channel_title': 'ТАСС', 'channel_username': 'tass_agency', 'embedding': [-0.074415422976017, 0.041109971702098846, 0.011132944375276566, -0.026941485702991486, -0.06787744164466858, -0.0038518202491104603, 0.13214978575706482, 0.007961845025420189, -0.018129682168364525, 0.0059880465269088745, 0.03570105507969856, 0.040988415479660034, 0.044002410024404526, -0.0013039401965215802, -0.03986316919326782, -0.032187484204769135, -0.04906672611832619, 0.04021763429045677, -0.01777041330933571, 0.02343844622373581, 0.024909699335694313, -0.018530061468482018, 0.1234922930598259, 0.07677764445543289, -0.059115275740623474, 0.06156469136476517, -0.010589256882667542, 0.02537466399371624, 0.05548374354839325, 0.10687317699193954, 0.009500224143266678, 0.014225292950868607, 0.021715372800827026, -0.08013422042131424, 0.027646342292428017, 0.02048196643590927, -0.0455317385494709, -0.028662674129009247, 0.017842628061771393, 0.002359893172979355, -0.029587550088763237, -0.0202785674482584, -0.10193198919296265, -0.011435940861701965, -0.013308778405189514, 0.021568654105067253, -0.08717195689678192, 0.03747985512018204, 0.01940385438501835, -0.023240109905600548, -0.01991843990981579, -0.008912650868296623, -0.033352844417095184, -0.10051357746124268, 0.02363136224448681, -0.08355122804641724, -0.00829098280519247, 0.00707889162003994, -0.07802489399909973, -0.09521311521530151, -0.02802778221666813, -0.021581312641501427, 0.017709633335471153, -0.008154276758432388, -0.016042497009038925, -0.03293558210134506, 0.022809606045484543, -0.006114584859460592, -0.047762591391801834, 0.028338607400655746, 0.019334208220243454, 0.011895056813955307, -0.031605351716279984, -0.0450364425778389, -0.09474456310272217, -0.06266513466835022, 0.03875301033258438, -0.028142806142568588, -0.09133851528167725, 0.06622152030467987, 0.05383436009287834, 0.015685828402638435, -0.04712829738855362, -0.009818087331950665, -0.04580551013350487, -0.02977597899734974, 0.021462954580783844, 0.05088380351662636, -0.06310047954320908, 0.05083812400698662, 0.03829558938741684, 0.05171233043074608, -0.004902178421616554, 0.010228020139038563, -0.10218501091003418, 0.0292240958660841, -0.06767955422401428, -0.09494888037443161, 0.04779715836048126, -0.05547909811139107, -0.07759932428598404, -0.009044329635798931, 0.08206555992364883, -0.00043092272244393826, -0.0547381266951561, 0.027457375079393387, -0.07285955548286438, -0.05013706907629967, 0.04044385254383087, -0.015688979998230934, -0.05663686990737915, -0.09974519908428192, -0.031446464359760284, -0.020336715504527092, 0.01990720070898533, 0.07838145643472672, -0.05143268033862114, -0.050656434148550034, 0.006571620237082243, -0.0015462111914530396, 0.08100194483995438, -0.03616467863321304, 0.00422887597233057, 0.042673610150814056, -0.0332995243370533, -0.09754511713981628, 0.06183483824133873, 9.417911597942407e-33, -0.015789179131388664, -0.06683369725942612, 0.021953128278255463, -0.024215351790189743, -0.07617422193288803, 0.04284447059035301, -0.002025278750807047, 0.014492614194750786, 0.0031126912217587233, 0.045259881764650345, -0.015328671783208847, 0.019284198060631752, 0.010913580656051636, -0.08911687135696411, 0.05850799381732941, 0.015405554324388504, 0.051340144127607346, -0.011067584156990051, 0.05808861553668976, 0.10160079598426819, -0.02032364532351494, 0.04447878897190094, -0.03337185084819794, 0.014433898963034153, 0.032450225204229355, 0.009910804219543934, -0.06517791002988815, -0.04664375260472298, 0.0459633506834507, -0.01053591351956129, 0.011845901608467102, 0.029665827751159668, -0.08713236451148987, 0.015999961644411087, -0.05896603316068649, -0.03646105155348778, 0.015380199067294598, 0.06886768341064453, 0.006942404434084892, 0.05048929527401924, -0.0014718427555635571, -0.1433253139257431, -0.01882093958556652, -0.017201192677021027, 0.10101394355297089, 0.0370086133480072, 0.02131534367799759, -0.019208751618862152, -0.05634712800383568, 0.02663377858698368, -0.008110328577458858, -0.00042041053529828787, -0.04804394021630287, 0.07005336880683899, 0.026868918910622597, -0.020648187026381493, -0.0017914921045303345, 0.011018128134310246, -0.08724762499332428, -0.025518091395497322, 0.019512241706252098, -0.07338055968284607, -0.012461659498512745, -0.010234087705612183, -0.06093371659517288, -0.08247794955968857, 0.05375692620873451, -0.02485324814915657, -0.02435281313955784, 0.08218570053577423, -0.06902819126844406, 0.008488664403557777, -0.085136279463768, 0.059230223298072815, 0.0025414228439331055, -0.054345592856407166, -0.09507569670677185, 0.05053403228521347, -0.055390406399965286, 0.06915876269340515, -0.040528569370508194, 0.018766501918435097, 0.0532214492559433, -0.0335385836660862, 0.09184704720973969, 0.10588594526052475, 0.01310796570032835, -0.00230823433957994, 0.033515360206365585, 0.040412694215774536, -0.11364962160587311, -0.062224820256233215, 0.018478384241461754, 0.051667213439941406, -0.015357211232185364, -1.23814952215226e-32, 0.04913417994976044, -0.01515237893909216, -0.044927120208740234, 0.12455444037914276, -0.03432479128241539, 0.03422923758625984, -0.030942754819989204, 0.006683410611003637, 0.03869073837995529, 0.07673155516386032, -0.0030183736234903336, -0.03939998149871826, -0.02256196364760399, 0.07637465000152588, -0.007980546914041042, 0.04674747586250305, 0.02083452232182026, 0.05108678713440895, -0.14451691508293152, -0.015231676399707794, -0.059166718274354935, -0.052629709243774414, 0.008252609521150589, 0.02293376810848713, -0.007462215609848499, -0.03112604282796383, 0.06578919291496277, -0.07438971847295761, -0.0406988263130188, 0.008892079815268517, -0.06519022583961487, -0.01209782250225544, -0.03361502289772034, 0.13634993135929108, 0.07247184962034225, 0.027383839711546898, 0.09598749130964279, -0.07759661227464676, -0.09338421374559402, 0.10376113653182983, -0.032638825476169586, 0.07013789564371109, 0.12209124863147736, 0.015547510236501694, -0.00408970657736063, -0.08021426945924759, -0.09747450053691864, -0.017266685143113136, 0.025134604424238205, 0.01405753567814827, 0.07031457126140594, 0.08815298974514008, 0.04259495064616203, -0.03113303706049919, 0.04253596439957619, -0.000788616540376097, 0.024072682484984398, 0.017201948910951614, 0.018265968188643456, 0.03360200300812721, 0.012726022861897945, 0.0030860058031976223, 0.03028862737119198, 0.012907260097563267, -0.04919663071632385, -0.020321371033787727, 0.0103034358471632, 0.03666899725794792, 0.06801202148199081, 0.03348120301961899, -0.013282586820423603, -0.04205815866589546, 0.0015180519549176097, 0.06239582598209381, -0.040518954396247864, 0.03438032045960426, -0.058257345110177994, 0.07941330224275589, 0.10061493515968323, 0.0202106311917305, 0.06231134012341499, 0.011756625957787037, 3.5380773624638095e-05, -0.021219970658421516, -0.10807113349437714, -0.08708596974611282, 0.034910157322883606, -0.013476962223649025, -0.00218749325722456, -0.09125006943941116, -0.01849854364991188, -0.007314521819353104, 0.06029505282640457, -0.03412850573658943, 0.0007336742128245533, -3.5172647017134295e-08, -0.019423874095082283, -0.07027356326580048, 0.0002407355495961383, 0.032516177743673325, 0.04931742325425148, -0.02095339633524418, 0.03758210688829422, -0.05096648260951042, -0.06008931249380112, -0.019358722493052483, 0.048368338495492935, -0.013608780689537525, -0.0208307895809412, 0.028875472024083138, -0.08670403808355331, 0.030738474801182747, -0.007797817699611187, -0.031831517815589905, 0.06857666373252869, -0.01555644441395998, 0.09652184695005417, -0.057852596044540405, -0.08534059673547745, -0.0375886932015419, -0.010518945753574371, 0.008380587212741375, -0.0005419577937573195, -0.013000382110476494, -0.025539712980389595, 0.020100977271795273, 0.03802211582660675, -0.056877654045820236, -0.037604283541440964, 0.008544053882360458, 0.0709727481007576, -0.00389693770557642, 0.05647341161966324, 0.01798839494585991, -0.03137906268239021, -0.019457833841443062, 0.04198024421930313, 0.00787298008799553, 0.07782618701457977, -0.03472411632537842, 0.00396561436355114, 0.007520968094468117, 0.002204410033300519, -0.07264242321252823, 0.012676994316279888, 0.04457567632198334, -0.018812483176589012, 0.08529359102249146, 0.03283407539129257, -0.013024303130805492, -0.056292999535799026, 0.10691000521183014, 0.05826874077320099, -0.02359134517610073, -0.05911388248205185, -0.06564950942993164, -0.04826986789703369, 0.11711893230676651, 0.019320426508784294, -0.006613302975893021]}
